건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
2001,아파트,59235,2,973238.8017,1969956.352
2001,아파트,59236,2,973192.1144,1969964.207
2001,아파트,59233,2,973131.0365,1969923.861
2001,아파트,59232,2,973162.0381,1969790.492
2001,아파트,59234,2,973129.4953,1969851.398
2001,아파트,59228,2,973133.1583,1969992.64
2001,아파트,59230,2,973188.7149,1969837.715
2001,아파트,59231,2,973213.8685,1969896.231
2001,아파트,24911,2,972819.8394,1970229.56
2001,아파트,24905,2,972878.5984,1970266.864
2001,아파트,24906,2,972853.7319,1970274.206
2001,아파트,24908,2,972828.9177,1970282.553
2001,아파트,24909,2,972836.6123,1970211.675
2001,아파트,71175,2,967595.4948,1963073.536
2001,아파트,71176,2,967593.5356,1963135.02
2001,아파트,71174,2,967537.9736,1963092.413
2001,아파트,71177,2,967634.0619,1963170.659
2001,아파트,71179,2,967544.3834,1963066.86
2001,아파트,44161,2,973379.0511,1971455.149
2001,아파트,2473,2,970056.3396,1967423.178
2001,아파트,2472,2,970078.0188,1967419.147
2001,아파트,2474,2,970067.2842,1967359.5
2001,아파트,2476,2,970079.674,1967379.742
2001,아파트,2477,2,970015.113,1967360.68
2001,아파트,2478,2,970017.5967,1967382.441
2001,아파트,2479,2,970097.2337,1967412.411
2001,아파트,42921,2,982439.6288,1960564.53
2001,아파트,42922,2,982535.3725,1960569.707
2001,아파트,42923,2,982573.3812,1960546.98
2001,아파트,42925,2,982503.0667,1960523.691
2001,아파트,42924,2,982560.3439,1960612.268
2001,아파트,42920,2,982463.8201,1960593.182
2001,아파트,42926,2,982461.2504,1960528.67
2001,아파트,42914,2,982433.3964,1960710.354
2001,아파트,42915,2,982366.0998,1960662.939
2001,아파트,42916,2,982445.4556,1960650.218
2001,아파트,42910,2,982337.4297,1960794.677
2001,아파트,42911,2,982288.6971,1960800.654
2001,아파트,42913,2,982350.5972,1960728.587
2001,아파트,42912,2,982301.8526,1960734.484
2001,아파트,42933,2,982123.9667,1960531.975
2001,아파트,42938,2,982155.5623,1960464.014
2001,아파트,42939,2,982228.8014,1960481.816
2001,아파트,42940,2,982197.6337,1960507.49
2001,아파트,42941,2,982244.7734,1960401.97
2001,아파트,42942,2,982175.0461,1960408.664
2001,아파트,42937,2,982212.6684,1960444.502
2001,아파트,20842,2,982000.4776,1960225.551
2001,아파트,20844,2,982006.1693,1960167.279
2001,아파트,20846,2,981986.4825,1960199.746
2001,아파트,20848,2,981942.382,1960143.768
2001,아파트,20847,2,981930.1821,1960086.268
2001,아파트,20841,2,982004.6603,1960107.987
2001,아파트,35928,2,977017.9585,1961708.801
2001,아파트,35925,2,976966.0248,1961601.023
2001,아파트,35929,2,977021.1371,1961664.177
2001,아파트,35930,2,976970.7904,1961645.963
2001,아파트,35926,2,976916.516,1961592.832
2001,아파트,35931,2,977022.4253,1961757.041
2001,아파트,35956,2,976972.733,1962243.83
2001,아파트,35953,2,976991.5258,1962417.928
2001,아파트,35954,2,976973.6233,1962369.528
2001,아파트,35955,2,976992.6811,1962334.957
2001,아파트,35957,2,976956.4913,1962304.944
2001,아파트,35958,2,976997.5896,1962275.218
2001,아파트,69335,2,977147.6285,1962567.348
2001,아파트,69334,2,977157.3304,1962510.62
2001,아파트,69336,2,977146.5089,1962620.46
2001,아파트,69337,2,977085.1665,1962606.171
2001,아파트,69338,2,977019.1022,1962591.859
2001,아파트,69339,2,977015.2194,1962535.37
2001,아파트,69340,2,977066.5098,1962551.568
2001,아파트,69341,2,977058.9065,1962483.597
