연번,차량등록지,lat,lon,보급연도
153,경기도 남양주시 ,37.58730975,127.218532,2020
154,경기도 남양주시 ,37.65062757,127.3373241,2020
155,경기도 남양주시 ,37.65562256,127.1479849,2020
156,경기도 남양주시 ,37.66859678,127.2998662,2020
157,경기도 남양주시 ,37.62139877,127.1572117,2020
158,경기도 남양주시 ,37.61330309,127.1629142,2020
159,경기도 남양주시 ,37.7134221,127.1885565,2020
160,경기도 남양주시 ,37.69990526,127.1897475,2020
161,경기도 남양주시 ,37.61150042,127.1629223,2020
162,경기도 남양주시 ,37.68643454,127.2090845,2020
163,경기도 남양주시 ,37.57739767,127.2197019,2020
164,경기도 남양주시 ,37.66363547,127.1162,2020
165,경기도 남양주시 ,37.6377738,127.213808,2020
166,경기도 남양주시 ,37.6465991,127.1446268,2020
167,경기도 남양주시 ,37.64929966,127.1434803,2020
168,경기도 남양주시 ,37.71254731,127.1987713,2020
169,경기도 남양주시 ,37.59001647,127.2196545,2020
170,경기도 남양주시 ,37.71051503,127.119362,2020
171,경기도 남양주시 ,37.64787175,127.3033225,2020
172,경기도 남양주시 ,37.72605837,127.1953123,2020
173,경기도 남양주시 ,37.69365073,127.2113248,2020
174,경기도 남양주시 ,37.6529118,127.1457303,2020
175,경기도 남양주시 ,37.69992589,127.197688,2020
176,경기도 남양주시 ,37.64480326,127.1469024,2020
177,경기도 남양주시 ,37.6575279,127.1842552,2020
178,경기도 남양주시 ,37.58278664,127.2117535,2020
179,경기도 남양주시 ,37.64322953,127.2341904,2020
180,경기도 남양주시 ,37.62783393,127.2036466,2020
181,경기도 남양주시 ,37.58549617,127.2140083,2020
182,경기도 남양주시 ,37.64930989,127.1468811,2020
183,경기도 남양주시 ,37.64606907,127.3033273,2020
184,경기도 남양주시 ,37.63234061,127.2036287,2020
185,경기도 남양주시 ,37.58730704,127.2173994,2020
186,경기도 남양주시 ,37.64786795,127.3010554,2020
187,경기도 남양주시 ,37.65020441,127.1446096,2020
188,경기도 남양주시 ,37.66005934,127.1252886,2020
189,경기도 남양주시 ,37.66728779,127.1309216,2020
190,경기도 남양주시 ,37.60878666,127.1595356,2020
191,경기도 남양주시 ,37.66398766,127.2465885,2020
192,경기도 남양주시 ,37.57740834,127.2242319,2020
193,경기도 남양주시 ,37.62680015,127.1549204,2020
194,경기도 남양주시 ,37.64930308,127.1446139,2020
195,경기도 남양주시 ,37.65514043,127.3418491,2020
196,경기도 남양주시 ,37.60877681,127.1561367,2020
197,경기도 남양주시 ,37.70691342,127.1205149,2020
198,경기도 남양주시 ,37.6565205,127.1468469,2020
199,경기도 남양주시 ,37.69004542,127.2113388,2020
200,경기도 남양주시 ,37.66020726,127.1751737,2020
201,경기도 남양주시 ,37.65333314,127.3384519,2020
202,경기도 남양주시 ,37.7062467,127.2022002,2020
203,경기도 남양주시 ,37.65110574,127.1446053,2020
204,경기도 남양주시 ,37.70794884,127.164755,2020
205,경기도 남양주시 ,37.69812324,127.1976953,2020
206,경기도 남양주시 ,37.66184018,127.1184769,2020
